StoreNumber,Date,Weekday,InstoreTraffic,StorefrontTraffic,WindowsConversion,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,WeekNumber,normal_vacation,special_vacation,consistent_vacation
1010105,2016/12/6,Tuesday,342,2930,0.117,70231,45,0.132,1561,1.62,0.39,15.8,205.3538012,0.014,2,0,0,0
1010105,2016/12/7,Wednesday,132,2192,0.06,55488,31,0.235,1790,1.77,0.369,15,420.3636364,0.062,3,0,0,0
1010105,2016/12/8,Thursday,352,3139,0.112,83997,50,0.142,1680,2.32,0.32,17.9,238.6278409,0.061,4,0,0,0
1010105,2016/12/9,Friday,417,3984,0.105,103935,59,0.141,1762,2.51,0.318,14.9,249.2446043,0.061,5,0,0,0
1010105,2016/12/10,Saturday,806,5021,0.161,103206,62,0.077,1665,2.58,0.351,14.2,128.0471464,0.044,6,1,0,0
1010105,2016/12/11,Sunday,709,4207,0.169,179440,103,0.145,1742,2.48,0.384,13.9,253.0888575,0.061,7,1,0,0
1010105,2016/12/12,Monday,221,1955,0.113,73377,42,0.19,1747,2.17,0.327,18.3,332.0226244,0.137,1,0,0,0
1010105,2016/12/13,Tuesday,308,2801,0.11,59952,37,0.12,1620,1.97,0.328,14.5,194.6493506,0.114,2,0,0,0
1010105,2016/12/14,Wednesday,209,2148,0.097,43797,26,0.124,1685,1.69,0.279,17.2,209.5550239,0.123,3,0,0,0
1010105,2016/12/15,Thursday,258,2711,0.095,49690,25,0.097,1988,2.12,0.334,16.3,192.5968992,0.15,4,0,0,0
1010105,2016/12/16,Friday,262,3817,0.069,46654,27,0.103,1728,1.93,0.292,14.4,178.0687023,0.161,5,0,0,0
1010105,2016/12/17,Saturday,549,4944,0.111,70760,40,0.073,1769,1.57,0.274,14,128.8888889,0.108,6,1,0,0
1010105,2016/12/18,Sunday,498,4321,0.115,99430,51,0.102,1950,2.1,0.283,14.1,199.6586345,0.115,7,1,0,0
1010105,2016/12/19,Monday,140,2264,0.062,48760,21,0.15,2322,2.81,0.323,14.3,348.2857143,0.206,1,0,0,0
1010105,2016/12/20,Tuesday,243,3149,0.077,42390,23,0.095,1843,1.96,0.304,14.9,174.4444444,0.147,2,0,0,0
1010105,2016/12/21,Wednesday,165,2165,0.076,42970,25,0.152,1719,2.08,0.329,12.1,260.4242424,0.148,3,0,0,0
1010105,2016/12/22,Thursday,283,3315,0.085,28858,18,0.064,1603,2.11,0.298,11.5,101.9717314,0.132,4,0,0,0
1010105,2016/12/23,Friday,324,3964,0.082,42692,26,0.08,1642,1.85,0.352,8.5,131.7654321,0.116,5,0,0,0
1010105,2016/12/24,Saturday,505,4667,0.108,66412,39,0.077,1703,1.87,0.286,14,131.5089109,0.144,6,1,1,0
1010105,2016/12/25,Sunday,456,4002,0.114,69251,36,0.079,1924,1.94,0.322,12.1,151.8662281,0.154,7,1,1,0
1010105,2016/12/26,Monday,142,1920,0.074,41895,28,0.197,1496,1.75,0.336,17.4,295.0352113,0.196,1,0,0,0
1010105,2016/12/27,Tuesday,174,2980,0.058,60796,30,0.172,2027,1.77,0.316,15.4,349.4022989,0.209,2,0,0,0
1010105,2016/12/28,Wednesday,97,1943,0.05,35178,18,0.186,1954,2.28,0.32,19.3,362.6597938,0.275,3,0,0,0
