"StoreNumber","Date","Weekday","Time","InstoreTraffic","StorefrontTraffic","WindowsConversion","Weather","Revenue","Transaction","Conversion","ATV","UPT","EfficientVisit","VisitDuration","RepeatCustomer","Temperature","WeekNumber"
"1004101","2017-07-01","Saturday",0,2431,-1,-1,"Scattered Thunderstorms",212345,40,"0.016",5309,"3.15","0.253",17,"0.059",88,6
"1004101","2017-07-02","Sunday",0,2808,-1,-1,"Thunderstorms",244173,55,"0.020",4440,"2.87","0.213",16.4,"0.065",90,7
"1004101","2017-07-03","Monday",0,800,-1,-1,"Thunderstorms",0,0,"0.000",-1,-1,"0.244",18.3,"0.112",89,1
"1004101","2017-07-04","Tuesday",0,707,-1,-1,"Thunderstorms",123721,28,"0.040",4419,"2.29","0.137",20.1,"0.119",88,2
"1004101","2017-07-05","Wednesday",0,646,-1,-1,"Thunderstorms",52316,12,"0.019",4360,"3.50","0.212",21.7,"0.094",89,3
"1004101","2017-07-06","Thursday",0,764,-1,-1,"Thunderstorms",76577,26,"0.034",2945,"2.15","0.182",18.5,"0.087",89,4
"1004101","2017-07-07","Friday",0,759,-1,-1,"Scattered Thunderstorms",99762,24,"0.032",4157,"3.17","0.244",21.4,"0.095",86,5
"1004101","2017-07-08","Saturday",0,2615,-1,-1,"Thunderstorms",236145,51,"0.020",4630,"3.12","0.202",17.9,"0.086",89,6
"1004101","2017-07-09","Sunday",0,3027,-1,-1,"Scattered Thunderstorms",229549,50,"0.017",4591,"2.64","0.203",18.2,"0.062",90,7
"1004101","2017-07-10","Monday",0,701,-1,-1,"Cloudy",75463,18,"0.026",4192,"2.56","0.200",22.6,"0.118",91,1
"1004101","2017-07-11","Tuesday",0,628,-1,-1,"Thunderstorms",65716,17,"0.027",3866,"2.82","0.216",19.4,"0.092",89,2
"1004101","2017-07-12","Wednesday",0,728,-1,-1,"Thunderstorms",70190,15,"0.021",4679,"3.27","0.222",16.2,"0.113",90,3
"1004101","2017-07-13","Thursday",0,718,-1,-1,"Cloudy",60340,16,"0.022",3771,"2.31","0.171",17.5,"0.102",91,4
"1004101","2017-07-14","Friday",0,785,-1,-1,"Cloudy",156958,34,"0.043",4616,"2.91","0.172",18.1,"0.098",89,5
"1004101","2017-07-15","Saturday",0,220,-1,-1,"Cloudy",206374,41,"0.186",5034,"2.71","0.175",16.3,"0.067",91,6
"1004101","2017-07-16","Sunday",0,0,-1,-1,"Sunny",231733,49,-1,4729,"3.04","0.190",17.7,"0.078",91,7
"1004101","2017-07-17","Monday",0,625,-1,-1,"Cloudy",60110,11,"0.018",5465,"3.09","0.235",17.7,"0.100",89,1
"1004102","2017-07-01","Saturday",0,815,-1,-1,"Scattered Thunderstorms",116615,19,"0.023",6138,"2.58","0.220",17.2,"0.067",88,6
"1004102","2017-07-02","Sunday",0,1043,-1,-1,"Thunderstorms",147170,26,"0.025",5660,"2.46","0.234",16.9,"0.073",90,7
"1004102","2017-07-03","Monday",0,246,-1,-1,"Thunderstorms",45678,5,"0.020",9136,"4.40","0.267",19.1,"0.126",89,1
"1004102","2017-07-04","Tuesday",0,202,-1,-1,"Thunderstorms",23115,4,"0.020",5779,"3.00","0.234",22.1,"0.147",88,2
"1004102","2017-07-05","Wednesday",0,189,-1,-1,"Thunderstorms",23291,3,"0.016",7764,"3.00","0.212",19.6,"0.146",89,3
"1004102","2017-07-06","Thursday",0,156,-1,-1,"Thunderstorms",16961,3,"0.019",5654,"3.00","0.261",18.3,"0.137",89,4
"1004102","2017-07-07","Friday",0,199,-1,-1,"Scattered Thunderstorms",34743,4,"0.020",8686,"3.25","0.235",21.5,"0.166",86,5
"1004102","2017-07-08","Saturday",0,824,-1,-1,"Thunderstorms",82905,13,"0.016",6377,"2.85","0.216",17,"0.084",89,6
"1004102","2017-07-09","Sunday",0,853,-1,-1,"Scattered Thunderstorms",70096,11,"0.013",6372,"3.09","0.194",17.1,"0.072",90,7
"1004102","2017-07-10","Monday",0,208,-1,-1,"Cloudy",44050,5,"0.024",8810,"3.20","0.251",18.4,"0.144",91,1
"1004102","2017-07-11","Tuesday",0,270,-1,-1,"Thunderstorms",48849,7,"0.026",6978,"2.71","0.259",17.3,"0.141",89,2
"1004102","2017-07-12","Wednesday",0,203,-1,-1,"Thunderstorms",49570,6,"0.030",8262,"3.17","0.248",18.7,"0.137",90,3
"1004102","2017-07-13","Thursday",0,250,-1,-1,"Cloudy",14624,2,"0.008",7312,"4.00","0.214",16.7,"0.130",91,4
"1004102","2017-07-14","Friday",0,302,-1,-1,"Cloudy",38431,6,"0.020",6405,"3.00","0.190",17.7,"0.141",89,5
"1004102","2017-07-15","Saturday",0,792,-1,-1,"Cloudy",85379,13,"0.016",6568,"2.92","0.224",16.4,"0.071",91,6
"1004102","2017-07-16","Sunday",0,824,-1,-1,"Sunny",78439,12,"0.015",6537,"2.83","0.229",18.7,"0.079",91,7
"1004102","2017-07-17","Monday",0,204,-1,-1,"Cloudy",76860,9,"0.044",8540,"3.00","0.190",21.4,"0.137",89,1
"1004103","2017-07-01","Saturday",0,-1,-1,-1,"Thunderstorms",161782,14,-1,11556,"6.14",-1,-1,-1,87,6
"1004103","2017-07-02","Sunday",0,-1,-1,-1,"Scattered Thunderstorms",10420,2,-1,5210,"2.00",-1,-1,-1,91,7
