"StoreNumber","Date","Weekday","Time","InstoreTraffic","StorefrontTraffic","WindowsConversion","Weather","Revenue","Transaction","Conversion","ATV","UPT","EfficientVisit","VisitDuration","RepeatCustomer","Temperature","WeekNumber","2FTraffic","2FConversion","3FTraffic","3FConversion"
"1010101","2017-07-01","Saturday",0,178,1536,"0.116","Thunderstorms",50511,28,"0.157",1804,"2.18","0.463",11.4,"0.253",86,6,261,1.466,127,0.48700000000000004
"1010101","2017-07-02","Sunday",0,147,1066,"0.138","Thunderstorms",51523,28,"0.190",1840,"2.79","0.460",11.6,"0.274",87,7,262,1.7819999999999998,124,0.473
"1010101","2017-07-03","Monday",0,230,1450,"0.159","Thunderstorms",44982,25,"0.109",1799,"1.96","0.445",12.2,"0.340",87,1,178,0.774,118,0.6629999999999999
"1010101","2017-07-04","Tuesday",0,79,1426,"0.055","Scattered Thunderstorms",18697,13,"0.165",1438,"2.38","0.427",11.1,"0.347",85,2,106,1.3419999999999999,87,0.821
"1010101","2017-07-05","Wednesday",0,192,1395,"0.138","Thunderstorms",65647,34,"0.177",1931,"2.29","0.423",11.6,"0.336",88,3,203,1.057,83,0.409
"1010101","2017-07-06","Thursday",0,111,1160,"0.096","Thunderstorms",42367,19,"0.171",2230,"2.26","0.483",13.7,"0.319",87,4,135,1.216,97,0.7190000000000001
"1010101","2017-07-07","Friday",0,125,1462,"0.085","Thunderstorms",42219,22,"0.176",1919,"3.14","0.470",12.2,"0.333",85,5,132,1.056,81,0.614
"1010101","2017-07-08","Saturday",0,171,1549,"0.110","Thunderstorms",73472,38,"0.222",1933,"2.61","0.427",12,"0.285",86,6,256,1.4969999999999999,113,0.441
"1010101","2017-07-09","Sunday",0,280,1552,"0.180","Thunderstorms",100919,66,"0.236",1529,"2.15","0.503",12.2,"0.269",87,7,350,1.25,218,0.623
"1010101","2017-07-10","Monday",0,198,1373,"0.144","Cloudy",71173,37,"0.187",1924,"2.65","0.417",11,"0.338",88,1,186,0.9390000000000001,138,0.742
"1010101","2017-07-11","Tuesday",0,151,1483,"0.102","Thunderstorms",43131,18,"0.119",2396,"2.17","0.407",13,"0.336",87,2,143,0.9470000000000001,64,0.44799999999999995
"1010101","2017-07-12","Wednesday",0,177,1441,"0.123","Thunderstorms",42024,26,"0.147",1616,"2.19","0.377",11.2,"0.346",88,3,193,1.09,99,0.513
