StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,2FTraffic,2FConversion,normal_vacation,special_vacation,consistent_vacation
1010106,2017/1/1,Sunday,0,821,4866,0.169,Sunny,107287,67,0.082,1601,1.78,0.503,10.2,130.6784409,0.07,69,7,348,0.424,1,1,1
1010106,2017/1/2,Monday,0,757,4306,0.176,Sunny,115173,58,0.077,1986,2.05,0.526,10.9,152.1439894,0.091,68,1,397,0.524,0,0,1
1010106,2017/1/3,Tuesday,0,257,1938,0.133,Cloudy,43847,26,0.101,1686,1.46,0.502,11.1,170.6108949,0.175,69,2,151,0.588,0,0,0
1010106,2017/1/4,Wednesday,0,237,2078,0.114,Sunny,45567,24,0.101,1899,1.83,0.457,11.2,192.2658228,0.195,71,3,187,0.789,0,0,0
1010106,2017/1/5,Thursday,0,228,2144,0.106,Cloudy,46550,21,0.092,2217,1.71,0.432,11.6,204.1666667,0.195,70,4,177,0.776,0,0,0
1010106,2017/1/6,Friday,0,337,2485,0.136,Rain,74590,42,0.125,1776,2.07,0.509,10.9,221.3353116,0.184,70,5,187,0.555,0,0,0
1010106,2017/1/7,Saturday,0,805,4567,0.176,Cloudy,137610,86,0.107,1600,2.22,0.496,10.5,170.9440994,0.119,70,6,350,0.435,1,0,0
1010106,2017/1/8,Sunday,0,820,4034,0.203,Cloudy,162551,93,0.113,1748,2.35,0.512,10.8,198.2329268,0.128,64,7,405,0.494,1,0,0
1010106,2017/1/9,Monday,0,342,1991,0.172,Cloudy,79305,45,0.132,1762,2.4,0.431,11.5,231.8859649,0.219,62,1,195,0.57,0,0,0
1010106,2017/1/10,Tuesday,0,312,2081,0.15,Cloudy,78460,45,0.144,1744,2.18,0.453,12.8,251.474359,0.222,67,2,180,0.577,0,0,0
1010106,2017/1/11,Wednesday,0,317,3577,0.089,Cloudy,75509,39,0.123,1936,2.18,0.48,13.8,238.1987382,0.254,68,3,154,0.486,0,0,0
