StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,normal_vacation,special_vacation,consistent_vacation
1010106,2017/1/1,Sunday,12,27,207,0.13,Sunny,9210,6,0.222,1535,1.83,0.503,10.2,341.1111111,0.07,71,7,1,1,1
1010106,2017/1/1,Sunday,13,36,209,0.172,Sunny,7821,8,0.222,978,1,0.503,10.2,217.25,0.07,71,7,1,1,1
1010106,2017/1/1,Sunday,14,50,379,0.132,Sunny,2240,2,0.04,1120,1,0.503,10.2,44.8,0.07,70,7,1,1,1
1010106,2017/1/1,Sunday,15,75,540,0.139,Sunny,24869,14,0.187,1776,2.07,0.503,10.2,331.5866667,0.07,72,7,1,1,1
1010106,2017/1/1,Sunday,16,123,581,0.212,Sunny,13019,7,0.057,1860,2.14,0.503,10.2,105.8455285,0.07,70,7,1,1,1
1010106,2017/1/1,Sunday,17,110,678,0.162,Sunny,7628,5,0.045,1526,1.8,0.503,10.2,69.34545455,0.07,70,7,1,1,1
1010106,2017/1/1,Sunday,18,88,678,0.13,Sunny,8340,6,0.068,1390,2,0.503,10.2,94.77272727,0.07,67,7,1,1,1
1010106,2017/1/1,Sunday,19,88,556,0.158,Sunny,15240,8,0.091,1905,1.63,0.503,10.2,173.1818182,0.07,67,7,1,1,1
1010106,2017/1/1,Sunday,20,127,545,0.233,Sunny,14440,8,0.063,1805,1.75,0.503,10.2,113.7007874,0.07,65,7,1,1,1
1010106,2017/1/1,Sunday,21,97,493,0.197,Sunny,4480,3,0.031,1493,2,0.503,10.2,46.18556701,0.07,65,7,1,1,1
1010106,2017/1/2,Monday,12,41,233,0.176,Sunny,5498,4,0.098,1375,1.5,0.526,10.9,134.097561,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,13,32,264,0.121,Cloudy,14111,8,0.25,1764,1.75,0.526,10.9,440.96875,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,14,83,424,0.196,Cloudy,31249,11,0.133,2841,2.91,0.526,10.9,376.4939759,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,15,105,521,0.202,Cloudy,13430,7,0.067,1919,2.29,0.526,10.9,127.9047619,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,16,81,554,0.146,Cloudy,1580,1,0.012,1580,3,0.526,10.9,19.50617284,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,17,56,555,0.101,Cloudy,10530,5,0.089,2106,2,0.526,10.9,188.0357143,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,18,91,579,0.157,Cloudy,10500,7,0.077,1500,1.43,0.526,10.9,115.3846154,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,19,105,474,0.222,Cloudy,9860,6,0.057,1643,1.17,0.526,10.9,93.9047619,0.091,68,1,0,0,1
1010106,2017/1/2,Monday,20,111,434,0.256,Cloudy,16845,8,0.072,2106,2.38,0.526,10.9,151.7567568,0.091,67,1,0,0,1
1010106,2017/1/2,Monday,21,52,268,0.194,Cloudy,1570,1,0.019,1570,2,0.526,10.9,30.19230769,0.091,68,1,0,0,1
1010106,2017/1/3,Tuesday,12,14,149,0.094,Cloudy,1280,1,0.071,1280,1,0.502,11.1,91.42857143,0.175,68,2,0,0,0
1010106,2017/1/3,Tuesday,13,22,167,0.132,Cloudy,0,0,0,0,0,0.502,11.1,0,0.175,68,2,0,0,0
1010106,2017/1/3,Tuesday,14,24,176,0.136,Cloudy,4770,4,0.167,1193,1,0.502,11.1,198.75,0.175,68,2,0,0,0
1010106,2017/1/3,Tuesday,15,16,137,0.117,Cloudy,5400,3,0.188,1800,1.33,0.502,11.1,337.5,0.175,68,2,0,0,0
1010106,2017/1/3,Tuesday,16,21,155,0.135,Cloudy,3800,3,0.143,1267,1,0.502,11.1,180.952381,0.175,70,2,0,0,0
1010106,2017/1/3,Tuesday,17,26,213,0.122,Cloudy,5578,4,0.154,1395,1.25,0.502,11.1,214.5384615,0.175,70,2,0,0,0
1010106,2017/1/3,Tuesday,18,30,223,0.135,Cloudy,5350,2,0.067,2675,1.5,0.502,11.1,178.3333333,0.175,69,2,0,0,0
1010106,2017/1/3,Tuesday,19,28,303,0.092,Cloudy,5119,3,0.107,1706,1.67,0.502,11.1,182.8214286,0.175,70,2,0,0,0
1010106,2017/1/3,Tuesday,20,41,221,0.186,Cloudy,9730,4,0.098,2433,2.5,0.502,11.1,237.3170732,0.175,70,2,0,0,0
1010106,2017/1/3,Tuesday,21,35,194,0.18,Cloudy,2820,2,0.057,1410,1.5,0.502,11.1,80.57142857,0.175,70,2,0,0,0
1010106,2017/1/4,Wednesday,12,7,156,0.045,Sunny,1960,1,0.143,1960,3,0.457,11.2,280,0.195,73,3,0,0,0
