"StoreNumber","Date","Weekday","Time","InstoreTraffic","StorefrontTraffic","WindowsConversion","Weather","Revenue","Transaction","Conversion","ATV","UPT","EfficientVisit","VisitDuration","RepeatCustomer","Temperature","WeekNumber","2FTraffic","2FConversion","3FTraffic","3FConversion"
"1010101","2017-05-01","Monday",0,175,1331,"0.131","Sunny",85951,43,"0.246",1999,"2.37","0.481",11.5,"0.298",81,1,220,1.2570000000000001,129,0.586
"1010101","2017-05-02","Tuesday",0,114,1120,"0.102","Cloudy",33758,23,"0.202",1468,"2.39","0.451",10.7,"0.380",83,2,146,1.281,111,0.76
"1010101","2017-05-03","Wednesday",0,139,1351,"0.103","Thunderstorms",49333,23,"0.165",2145,"2.39","0.451",9.7,"0.384",83,3,161,1.158,121,0.752
"1010101","2017-05-04","Thursday",0,126,1240,"0.102","Cloudy",47960,25,"0.198",1918,"2.60","0.482",10.5,"0.375",84,4,138,1.095,111,0.804
"1010101","2017-05-05","Friday",0,123,1359,"0.091","Thunderstorms",61424,32,"0.260",1920,"2.81","0.436",11.8,"0.351",85,5,163,1.325,115,0.706
"1010101","2017-05-06","Saturday",0,260,1630,"0.160","Cloudy",105175,61,"0.235",1724,"2.33","0.395",11.7,"0.272",82,6,345,1.327,192,0.557
"1010101","2017-05-07","Sunday",0,248,1422,"0.174","Sunny",129329,61,"0.246",2120,"3.16","0.446",11.6,"0.272",85,7,316,1.274,207,0.655
"1010101","2017-05-08","Monday",0,143,1187,"0.120","Thunderstorms",66475,35,"0.245",1899,"2.34","0.447",11.4,"0.347",84,1,176,1.2309999999999999,110,0.625
"1010101","2017-05-09","Tuesday",0,136,1320,"0.103","Scattered Thunderstorms",70349,34,"0.250",2069,"2.50","0.454",10.3,"0.353",83,2,182,1.338,100,0.5489999999999999
"1010101","2017-05-10","Wednesday",0,112,1227,"0.091","na",55327,26,"0.232",2128,"2.15","0.436",10.5,"0.359",87,3,150,1.339,120,0.8
"1010101","2017-05-11","Thursday",0,147,1315,"0.112","Cloudy",44558,19,"0.129",2345,"2.32","0.465",9.9,"0.352",87,4,178,1.2109999999999999,96,0.539
"1010101","2017-05-12","Friday",0,133,1115,"0.119","Thunderstorms",44447,22,"0.165",2020,"2.18","0.504",11.8,"0.347",85,5,183,1.376,101,0.552
"1010101","2017-05-13","Saturday",0,171,1331,"0.128","Thunderstorms",45293,30,"0.175",1510,"2.17","0.489",10.9,"0.296",82,6,190,1.111,149,0.784
"1010101","2017-05-14","Sunday",0,168,1352,"0.124","Cloudy",83038,46,"0.274",1805,"2.24","0.450",11.4,"0.288",86,7,231,1.375,165,0.7140000000000001
"1010101","2017-05-15","Monday",0,109,1242,"0.088","na",30844,14,"0.128",2203,"2.21","0.400",11.6,"0.370",81,1,110,1.0090000000000001,90,0.818
"1010101","2017-05-16","Tuesday",0,94,1337,"0.070","na",45120,24,"0.255",1880,"2.17","0.478",11.8,"0.368",73,2,87,0.9259999999999999,56,0.644
"1010101","2017-05-17","Wednesday",0,128,1219,"0.105","Cloudy",71420,27,"0.211",2645,"1.93","0.502",12.1,"0.354",81,3,194,1.516,111,0.5720000000000001
"1010101","2017-05-18","Thursday",0,125,1225,"0.102","Cloudy",47610,28,"0.224",1700,"2.00","0.477",11.1,"0.364",84,4,187,1.496,122,0.652
"1010101","2017-05-19","Friday",0,91,1180,"0.077","Cloudy",48544,25,"0.275",1942,"2.08","0.473",10.7,"0.348",79,5,139,1.527,92,0.662
"1010101","2017-05-20","Saturday",0,210,1765,"0.119","Cloudy",80731,45,"0.214",1794,"1.96","0.424",10.1,"0.294",82,6,388,1.848,171,0.441
"1010101","2017-05-21","Sunday",0,280,1488,"0.188","Cloudy",116172,52,"0.186",2234,"2.62","0.498",9,"0.294",84,7,399,1.425,200,0.501
"1010101","2017-05-22","Monday",0,160,1319,"0.121","Thunderstorms",72063,31,"0.194",2325,"1.90","0.493",11,"0.380",85,1,241,1.506,151,0.627
"1010101","2017-05-23","Tuesday",0,144,1231,"0.117","Cloudy",39149,23,"0.160",1702,"1.70","0.446",13.4,"0.337",84,2,159,1.104,78,0.491
"1010101","2017-05-24","Wednesday",0,95,1129,"0.084","Rain",47178,21,"0.221",2247,"2.48","0.450",11.5,"0.344",82,3,120,1.263,106,0.883
"1010101","2017-05-25","Thursday",0,109,1178,"0.093","Rain",37945,24,"0.220",1581,"1.88","0.454",10.5,"0.342",77,4,132,1.2109999999999999,93,0.705
"1010101","2017-05-26","Friday",0,152,1304,"0.117","Cloudy",53986,24,"0.158",2249,"1.96","0.449",11.4,"0.331",81,5,237,1.5590000000000002,116,0.489
"1010101","2017-05-27","Saturday",0,251,1633,"0.154","Rain",107175,45,"0.179",2382,"2.71","0.482",11.3,"0.294",79,6,405,1.614,273,0.674
"1010101","2017-05-28","Sunday",0,292,1725,"0.169","Cloudy",89462,47,"0.161",1903,"2.15","0.470",11.6,"0.237",82,7,378,1.295,222,0.5870000000000001
"1010101","2017-05-29","Monday",0,236,1623,"0.145","Cloudy",73928,41,"0.174",1803,"2.20","0.496",11.6,"0.264",86,1,315,1.335,174,0.552
"1010101","2017-05-30","Tuesday",0,129,1118,"0.115","Cloudy",66720,34,"0.264",1962,"2.29","0.536",11.5,"0.294",81,2,189,1.465,102,0.54
"1010101","2017-05-31","Wednesday",0,126,1394,"0.090","Scattered Thunderstorms",46375,30,"0.238",1546,"1.70","0.442",10.4,"0.368",87,3,178,1.413,104,0.584
"1010102","2017-05-01","Monday",0,181,6351,"0.028","Sunny",59446,27,"0.149",2202,"3.00","0.383",12,"0.339",81,1,211,1.166,-1,-1
"1010102","2017-05-02","Tuesday",0,116,6207,"0.019","Cloudy",59045,28,"0.241",2109,"2.07","0.416",9.8,"0.354",80,2,107,0.922,-1,-1
"1010102","2017-05-03","Wednesday",0,177,7131,"0.025","Thunderstorms",23393,13,"0.073",1799,"1.69","0.374",9.7,"0.380",81,3,102,0.5760000000000001,-1,-1
"1010102","2017-05-04","Thursday",0,163,6681,"0.024","Cloudy",15853,10,"0.061",1585,"2.00","0.421",8.6,"0.397",83,4,110,0.675,-1,-1
"1010102","2017-05-05","Friday",0,183,7659,"0.024","Scattered Thunderstorms",32825,19,"0.104",1728,"1.89","0.418",9.8,"0.366",84,5,147,0.8029999999999999,-1,-1
"1010102","2017-05-06","Saturday",0,300,9315,"0.032","Thunderstorms",84464,40,"0.133",2112,"2.13","0.408",12,"0.337",77,6,279,0.93,-1,-1
"1010102","2017-05-07","Sunday",0,345,8733,"0.040","Cloudy",80754,43,"0.125",1878,"2.74","0.364",9.4,"0.330",79,7,239,0.693,-1,-1
"1010102","2017-05-08","Monday",0,169,6599,"0.026","na",60545,30,"0.178",2018,"2.87","0.366",11,"0.359",82,1,194,1.148,-1,-1
"1010102","2017-05-09","Tuesday",0,128,6179,"0.021","Thunderstorms",36366,20,"0.156",1818,"2.00","0.367",10,"0.362",80,2,130,1.016,-1,-1
"1010102","2017-05-10","Wednesday",0,179,6869,"0.026","na",54255,26,"0.145",2087,"2.27","0.466",10.6,"0.384",88,3,110,0.615,-1,-1
"1010102","2017-05-11","Thursday",0,152,6222,"0.024","Thunderstorms",38003,22,"0.145",1727,"1.95","0.429",10.1,"0.365",85,4,146,0.961,-1,-1
"1010102","2017-05-12","Friday",0,254,7796,"0.033","Thunderstorms",60378,28,"0.110",2156,"3.04","0.421",10.3,"0.358",83,5,150,0.591,-1,-1
"1010102","2017-05-13","Saturday",0,388,9213,"0.042","Scattered Thunderstorms",42934,24,"0.062",1789,"1.75","0.443",10.4,"0.332",76,6,226,0.5820000000000001,-1,-1
"1010102","2017-05-14","Sunday",0,345,7594,"0.045","Cloudy",90617,40,"0.116",2265,"2.77","0.413",10.7,"0.326",84,7,193,0.5589999999999999,-1,-1
