StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,normal_vacation,special_vacation,consistent_vacation
1010105,2016/12/6,Tuesday,13,9,102,0.088,na,12431,9,1,1381,1.67,0.39,15.8,1381.222222,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,14,10,92,0.109,na,3884,3,0.3,1295,1.33,0.39,15.8,388.4,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,15,18,141,0.128,na,9935,6,0.333,1656,2.17,0.39,15.8,551.9444444,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,16,9,180,0.05,na,4028,2,0.222,2014,1.5,0.39,15.8,447.5555556,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,17,16,258,0.062,na,0,0,0,0,0,0.39,15.8,0,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,18,18,290,0.062,na,3660,3,0.167,1220,1.33,0.39,15.8,203.3333333,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,19,50,409,0.122,na,4728,4,0.08,1182,1.75,0.39,15.8,94.56,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,20,65,522,0.125,na,12240,7,0.108,1749,1.71,0.39,15.8,188.3076923,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,21,73,534,0.137,na,19325,11,0.151,1757,1.36,0.39,15.8,264.7260274,0.014,na,2,0,0,0
1010105,2016/12/6,Tuesday,22,74,401,0.185,na,0,0,0,0,0,0.39,15.8,0,0.014,na,2,0,0,0
1010105,2016/12/7,Wednesday,13,10,121,0.083,na,4906,2,0.2,2453,3,0.369,15,490.6,0.062,na,3,0,0,0
1010105,2016/12/7,Wednesday,14,10,90,0.111,na,8710,6,0.6,1452,1.5,0.369,15,871,0.062,na,3,0,0,0
1010105,2016/12/7,Wednesday,15,10,140,0.071,na,4616,2,0.2,2308,2,0.369,15,461.6,0.062,na,3,0,0,0
1010105,2016/12/7,Wednesday,16,8,196,0.041,na,4720,2,0.25,2360,3,0.369,15,590,0.062,na,3,0,0,0
1010105,2016/12/7,Wednesday,17,16,261,0.061,na,0,0,0,0,0,0.369,15,0,0.062,na,3,0,0,0
